x	y	showSelected1	PANEL
1	-0.00217510121058019	0.1	2
2	-0.0963784804790482	0.1	2
3	-0.400499154176037	0.1	2
4	-1.61204527676818	0.1	2
5	-5.3130237118285	0.1	2
6	-15.3679211039282	0.1	2
1	-0.00874442083103524	0.2	2
2	-0.388850824416755	0.2	2
3	-1.57312422088683	0.2	2
4	-5.19621471714081	0.2	2
5	-15.7358978892228	0.2	2
1	-0.019843634037709	0.3	2
2	-0.0341040002640602	0.3	2
3	-0.0234287779205726	0.3	2
4	-0.00468359544088469	0.3	2
5	-0.0944204204168297	0.3	2
6	-0.389635388607279	0.3	2
7	-1.57575361393608	0.3	2
8	-5.20410625776315	0.3	2
9	-15.7358978892228	0.3	2
1	-0.0357116092366138	0.4	2
2	-0.0315147774166144	0.4	2
3	-0.0120958648541086	0.4	2
4	-0.530354627856846	0.4	2
5	-2.03281934602867	0.4	2
6	-6.57554568796363	0.4	2
7	-15.7358978892228	0.4	2
1	-0.0567120150482362	0.5	2
2	-0.161971352117337	0.5	2
3	-0.723472405160249	0.5	2
4	-2.63334647404545	0.5	2
5	-8.37715856266434	0.5	2
6	-16.2130191439424	0.5	2
1	-0.0833694137964847	0.6	2
2	-0.326592491957729	0.6	2
3	-1.36020690846147	0.6	2
4	-4.55699728348568	0.6	2
5	-14.1446832171269	0.6	2
6	-16.2130191439424	0.6	2
1	-0.116428165188605	0.7	2
2	-0.50697363008591	0.7	2
3	-1.95847084864303	0.7	2
4	-6.35248647367063	0.7	2
5	-16.2130191439424	0.7	2
1	-0.156950007151062	0.8	2
2	-0.700974004867794	0.8	2
3	-2.56427401142335	0.8	2
4	-8.16994037768977	0.8	2
5	-16.2130191439424	0.8	2
1	-0.206482029711917	0.9	2
2	-0.91205270307148	0.9	2
3	-3.2073797906314	0.9	2
4	-10.099259971566	0.9	2
5	-16.2130191439424	0.9	2
1	-0.267363179002222	1	2
2	-1.14730106772269	1	2
3	-3.91703652166353	1	2
4	-12.2282335836153	1	2
5	-16.2130191439424	1	2
1	-0.343330667630739	1.1	2
2	-1.41836307798882	1.1	2
3	-4.73164087434452	1.1	2
4	-14.6657043710176	1.1	2
5	-16.2130191439424	1.1	2
1	-0.440862440319501	1.2	2
2	-1.74515540605439	1.2	2
3	-5.71246106382092	1.2	2
4	-16.2130191439424	1.2	2
1	-0.572678115410946	1.3	2
2	-2.16626231176659	1.3	2
3	-6.97589001306414	1.3	2
4	-16.2130191439424	1.3	2
1	-0.769635025894039	1.4	2
2	-2.77458778043284	1.4	2
3	-8.80088352195442	1.4	2
4	-16.2130191439424	1.4	2
1	-1.15035212467837	1.5	2
2	-3.92621749066989	1.5	2
3	-12.2557455964238	1.5	2
4	-16.2130191439424	1.5	2
1	-1.53462425346978	1.6	2
2	-5.08066063297432	1.6	2
3	-15.7936808311806	1.6	2
4	-16.2130191439424	1.6	2
1	-0.889934134723936	1.7	2
2	-3.14038677949079	1.7	2
3	-9.89828135989411	1.7	2
4	-16.2130191439424	1.7	2
1	-0.643587668958134	1.8	2
2	-2.3872320151008	1.8	2
3	-7.63881072963094	1.8	2
4	-16.2130191439424	1.8	2
1	-0.490408310627297	1.9	2
2	-1.90548128391033	1.9	2
3	-6.1935046985763	1.9	2
4	-16.2130191439424	1.9	2
1	-0.380753402425582	2	2
2	-1.54591709083619	2	2
3	-5.11455604571293	2	2
4	-16.2130191439424	2	2
1	-0.296840990414098	2.1	2
2	-1.25480475662389	2.1	2
3	-4.24032489061734	2.1	2
4	-13.198294894437	2.1	2
5	-16.2130191439424	2.1	2
1	-0.23025270832204	2.2	2
2	-1.00642284080232	2.2	2
3	-3.4925786372729	2.2	2
4	-10.9548567195238	2.2	2
5	-16.2130191439424	2.2	2
1	-0.176345816348021	2.3	2
2	-0.786368446949965	2.3	2
3	-2.82564664160293	2.3	2
4	-8.95406031669193	2.3	2
5	-16.2130191439424	2.3	2
1	-0.132300568001111	2.4	2
2	-0.585898322416987	2.4	2
3	-2.20768300628824	2.4	2
4	-7.10015525420381	2.4	2
5	-16.2130191439424	2.4	2
1	-0.0962896239297902	2.5	2
2	-0.400008079106235	2.5	2
3	-1.61040939599463	2.5	2
4	-5.30811430420615	2.5	2
5	-16.2130191439424	2.5	2
1	-0.0670755572297304	2.6	2
2	-0.227973144480002	2.6	2
3	-0.997528456131152	2.6	2
4	-3.46573541833621	2.6	2
5	-10.8743261339385	2.6	2
6	-16.2130191439424	2.6	2
1	-0.0437969128544612	2.7	2
2	-0.0788737727128027	2.7	2
3	-0.30006755284801	2.7	2
4	-1.26637445511927	2.7	2
5	-4.27509688269393	2.7	2
6	-13.3027774259804	2.7	2
7	-16.2130191439424	2.7	2
1	-0.0258466025876024	2.8	2
2	-3.50438995672598e-05	2.8	2
3	-0.00765026873973028	2.8	2
4	-0.163853253437211	2.8	2
5	-0.731830991979705	2.8	2
6	-2.65896650946669	2.8	2
7	-8.45401854505204	2.8	2
8	-14.83299086417	2.8	2
1	-0.0127994817666469	2.9	2
2	-0.397018955527108	2.9	2
3	-1.60044267999378	2.9	2
4	-5.27820310912391	2.9	2
5	-16.2130191439424	2.9	2
1	-0.00436809701595638	3	2
2	-0.192448149107701	3	2
3	-0.854464660454175	3	2
4	-3.03280827142791	3	2
5	-9.57554575187698	3	2
6	-15.7358978892228	3	2
1	-0.000375761976243025	3.1	2
2	-0.312597457235433	3.1	2
3	-1.31097316735314	3.1	2
4	-4.40910634097612	3.1	2
5	-13.6917356274264	3.1	2
6	-15.0086248628201	3.1	2
1	-0.000741201599959344	3.2	2
2	-0.926599214363442	3.2	2
3	-3.251403983368	3.2	2
4	-10.2313318580656	3.2	2
5	-15.0086248628201	3.2	2
1	-0.00547179282245758	3.3	2
2	-0.00397959770413534	3.3	2
3	-0.446474897168942	3.3	2
4	-1.76347156922896	3.3	2
5	-5.76741977989572	3.3	2
6	-14.9575028094262	3.3	2
1	-0.0146641701732622	3.4	2
2	-0.206565245853071	3.4	2
3	-0.912389735999415	3.4	2
4	-3.20840010031803	3.4	2
5	-10.10232133782	3.4	2
6	-15.5140491396064	3.4	2
1	-0.0285123046802065	3.5	2
2	-0.00280677987263001	3.5	2
3	-0.0676706466032698	3.5	2
4	-0.231693663137658	3.5	2
5	-1.01202933202947	3.5	2
6	-3.50949566056066	3.5	2
7	-11.0056125468858	3.5	2
8	-16.2130191439424	3.5	2
1	-0.0473245386549783	3.6	2
2	-0.101270758428897	3.6	2
3	-0.427261270037541	3.6	2
4	-1.7005834029568	3.6	2
5	-5.57871624758911	3.6	2
6	-15.7358978892228	3.6	2
1	-0.0715529205525737	3.7	2
2	-0.255751496581223	3.7	2
3	-1.10395666730656	3.7	2
4	-3.78656292644918	3.7	2
5	-11.8368660297178	3.7	2
6	-15.7358978892228	3.7	2
1	-0.10184124447148	3.8	2
2	-0.430347408254269	3.8	2
3	-1.71072057360153	3.8	2
4	-5.60913484018776	3.8	2
5	-15.7358978892228	3.8	2
1	-0.139103876935042	3.9	2
2	-0.618494247270939	3.9	2
3	-2.30935416064375	3.9	2
4	-7.40517433709965	3.9	2
5	-15.7358978892228	3.9	2
1	-0.184658972895125	4	2
2	-0.82181310119797	4	2
3	-2.93359028188916	4	2
4	-9.27789192320715	4	2
5	-15.7358978892228	4	2
1	-0.240465147930587	4.1	2
2	-1.04590237167363	4.1	2
3	-3.61165307950464	4.1	2
4	-11.3121020479226	4.1	2
5	-15.7358978892228	4.1	2
1	-0.309572811537414	4.2	2
2	-1.30025400709449	4.2	2
3	-4.37690152402573	4.2	2
4	-13.6075616127524	4.2	2
5	-15.7358978892228	4.2	2
1	-0.397073184250266	4.3	2
2	-1.60062363923192	4.3	2
3	-5.2787461919641	4.3	2
4	-15.7358978892228	4.3	2
1	-0.512390988435992	4.4	2
2	-1.97574168150034	4.4	2
3	-6.40430259077558	4.4	2
4	-15.7358978892228	4.4	2
1	-0.676138047644546	4.5	2
2	-2.48781655371727	4.5	2
3	-7.94056677235536	4.5	2
4	-15.7358978892228	4.5	2
1	-0.950190936779304	4.6	2
2	-3.32275010404456	4.6	2
3	-10.4453742668229	4.6	2
4	-15.7358978892228	4.6	2
1	-1.90697554447148	4.7	2
2	-6.19798789464814	4.7	2
3	-15.7358978892228	4.7	2
1	-1.05799699256858	4.8	2
2	-3.64810955023809	4.8	2
3	-11.4214999880861	4.8	2
4	-15.7358978892228	4.8	2
1	-0.72929236067121	4.9	2
2	-2.65118759079896	4.9	2
3	-8.43068211973123	4.9	2
4	-15.7358978892228	4.9	2
1	-0.547198555424612	5	2
2	-2.08609061549257	5	2
3	-6.73536680751312	5	2
4	-15.7358978892228	5	2
1	-0.422533772918138	5.1	2
2	-1.6850268579806	5.1	2
3	-5.53203508279088	5.1	2
4	-15.7358978892228	5.1	2
1	-0.329274950934276	5.2	2
2	-1.36957834601028	5.2	2
3	-4.58514307684487	5.2	2
4	-14.2586303204285	5.2	2
5	-15.7358978892228	5.2	2
1	-0.25619688285829	5.3	2
2	-1.10563072991069	5.3	2
3	-3.79160381411536	5.3	2
4	-11.8519621299581	5.3	2
5	-15.7358978892228	5.3	2
1	-0.197436376360955	5.4	2
2	-0.875109407950179	5.4	2
3	-3.09544705594769	5.4	2
4	-9.76346259781172	5.4	2
5	-15.7358978892228	5.4	2
1	-0.149556090080945	5.5	2
2	-0.667299869542478	5.5	2
3	-2.46055036389459	5.5	2
4	-7.85876766906486	5.5	2
5	-15.7358978892228	5.5	2
1	-0.110381306221347	5.6	2
2	-0.475724790223402	5.6	2
3	-1.85827070775925	5.6	2
4	-6.05185829825965	5.6	2
5	-15.7358978892228	5.6	2
1	-0.0784629345967839	5.7	2
2	-0.297617469964807	5.7	2
3	-1.25759233116654	5.7	2
4	-4.24870307706319	5.7	2
5	-13.2203138057543	5.7	2
6	-15.7358978892228	5.7	2
1	-0.0528018624733295	5.8	2
2	-0.136660595613107	5.8	2
3	-0.606866837066709	5.8	2
4	-2.27315686885839	5.8	2
5	-7.29658074989919	5.8	2
6	-15.7358978892228	5.8	2
1	-0.0326961814625299	5.9	2
2	-0.016965623499674	5.9	2
3	-0.0970935730099184	5.9	2
4	-0.404444595580326	5.9	2
5	-1.62517304616242	5.9	2
6	-5.35242071405909	5.9	2
7	-15.5140491396064	5.9	2
1	-0.0176517377997329	6	2
2	-0.0769702207951374	6	2
3	-0.288678532587162	6	2
4	-1.22537128175015	6	2
5	-4.15184845152864	6	2
6	-12.9328017775838	6	2
7	-16.2130191439424	6	2
1	-0.00732790086656264	6.1	2
2	-0.117251523956661	6.1	2
3	-0.511175261566507	6.1	2
4	-1.97186828723365	6.1	2
