x	y	showSelected1	PANEL
-1	10.9955742875643	0.1	1
-1	4.71238898038469	0.2	1
1	-0.785398163397448	0.3	1
-1	4.71238898038469	0.4	1
1	1.5707963267949	0.5	1
1	1.5707963267949	0.6	1
1	1.5707963267949	0.7	1
1	1.5707963267949	0.8	1
1	1.5707963267949	0.9	1
1	1.5707963267949	1	1
1	1.5707963267949	1.1	1
1	1.5707963267949	1.2	1
1	1.5707963267949	1.3	1
1	1.5707963267949	1.4	1
1	1.5707963267949	1.5	1
1	1.5707963267949	1.6	1
1	1.5707963267949	1.7	1
1	1.5707963267949	1.8	1
1	1.5707963267949	1.9	1
1	1.5707963267949	2	1
1	1.5707963267949	2.1	1
1	1.5707963267949	2.2	1
1	1.5707963267949	2.3	1
1	1.5707963267949	2.4	1
1	1.5707963267949	2.5	1
1	1.5707963267949	2.6	1
1	1.5707963267949	2.7	1
-1	-0.785398163397448	2.8	1
-1	-0.785398163397448	2.9	1
1	-0.785398163397448	3	1
-1	-0.785398163397448	3.1	1
1	16.4933614313464	3.2	1
-1	16.4933614313464	3.3	1
1	7.85398163397448	3.4	1
-1	-0.785398163397448	3.5	1
-1	4.71238898038469	3.6	1
-1	4.71238898038469	3.7	1
-1	4.71238898038469	3.8	1
-1	4.71238898038469	3.9	1
-1	4.71238898038469	4	1
-1	4.71238898038469	4.1	1
-1	4.71238898038469	4.2	1
-1	4.71238898038469	4.3	1
-1	4.71238898038469	4.4	1
-1	4.71238898038469	4.5	1
-1	4.71238898038469	4.6	1
-1	4.71238898038469	4.7	1
-1	4.71238898038469	4.8	1
-1	4.71238898038469	4.9	1
-1	4.71238898038469	5	1
-1	4.71238898038469	5.1	1
-1	4.71238898038469	5.2	1
-1	4.71238898038469	5.3	1
-1	4.71238898038469	5.4	1
-1	4.71238898038469	5.5	1
-1	4.71238898038469	5.6	1
-1	4.71238898038469	5.7	1
-1	4.71238898038469	5.8	1
1	7.85398163397448	5.9	1
1	1.5707963267949	6	1
1	1.5707963267949	6.1	1
1	-0.785398163397448	6.2	1
-1	16.4933614313464	6.3	1
1	14.1371669411541	6.4	1
-1	10.9955742875643	6.5	1
1	14.1371669411541	6.6	1
1	7.85398163397448	6.7	1
1	7.85398163397448	6.8	1
1	7.85398163397448	6.9	1
1	7.85398163397448	7	1
1	7.85398163397448	7.1	1
1	7.85398163397448	7.2	1
1	7.85398163397448	7.3	1
1	7.85398163397448	7.4	1
1	7.85398163397448	7.5	1
1	7.85398163397448	7.6	1
1	7.85398163397448	7.7	1
1	7.85398163397448	7.8	1
1	7.85398163397448	7.9	1
1	7.85398163397448	8	1
1	7.85398163397448	8.1	1
1	7.85398163397448	8.2	1
1	7.85398163397448	8.3	1
1	7.85398163397448	8.4	1
1	7.85398163397448	8.5	1
1	7.85398163397448	8.6	1
1	7.85398163397448	8.7	1
1	7.85398163397448	8.8	1
1	7.85398163397448	8.9	1
1	7.85398163397448	9	1
1	16.4933614313464	9.1	1
-1	4.71238898038469	9.2	1
1	1.5707963267949	9.3	1
1	-0.785398163397448	9.4	1
-1	16.4933614313464	9.5	1
1	14.1371669411541	9.6	1
1	14.1371669411541	9.7	1
1	7.85398163397448	9.8	1
-1	10.9955742875643	9.9	1
-1	10.9955742875643	10	1
-1	10.9955742875643	10.1	1
-1	10.9955742875643	10.2	1
-1	10.9955742875643	10.3	1
-1	10.9955742875643	10.4	1
-1	10.9955742875643	10.5	1
-1	10.9955742875643	10.6	1
-1	10.9955742875643	10.7	1
-1	10.9955742875643	10.8	1
-1	10.9955742875643	10.9	1
-1	10.9955742875643	11	1
-1	10.9955742875643	11.1	1
-1	10.9955742875643	11.2	1
-1	10.9955742875643	11.3	1
-1	10.9955742875643	11.4	1
-1	10.9955742875643	11.5	1
-1	10.9955742875643	11.6	1
-1	10.9955742875643	11.7	1
-1	10.9955742875643	11.8	1
-1	10.9955742875643	11.9	1
-1	10.9955742875643	12	1
-1	10.9955742875643	12.1	1
-1	10.9955742875643	12.2	1
1	7.85398163397448	12.3	1
-1	16.4933614313464	12.4	1
-1	-0.785398163397448	12.5	1
-1	16.4933614313464	12.6	1
1	16.4933614313464	12.7	1
-1	16.4933614313464	12.8	1
-1	16.4933614313464	12.9	1
1	14.1371669411541	13	1
1	14.1371669411541	13.1	1
1	14.1371669411541	13.2	1
1	14.1371669411541	13.3	1
1	14.1371669411541	13.4	1
1	14.1371669411541	13.5	1
1	14.1371669411541	13.6	1
1	14.1371669411541	13.7	1
1	14.1371669411541	13.8	1
1	14.1371669411541	13.9	1
1	14.1371669411541	14	1
1	14.1371669411541	14.1	1
1	14.1371669411541	14.2	1
1	14.1371669411541	14.3	1
1	14.1371669411541	14.4	1
1	14.1371669411541	14.5	1
1	14.1371669411541	14.6	1
1	14.1371669411541	14.7	1
1	14.1371669411541	14.8	1
1	14.1371669411541	14.9	1
1	14.1371669411541	15	1
1	14.1371669411541	15.1	1
1	14.1371669411541	15.2	1
1	14.1371669411541	15.3	1
-1	4.71238898038469	15.4	1
-1	10.9955742875643	15.5	1
-1	16.4933614313464	15.6	1
-1	-0.785398163397448	15.7	1
